director,movie,new_director
Aditya Chopra,Befikre,No
Ali Abbas Zafar,Gunday,No
Maneesh Sharma,Band Baaja Baaraat,Yes
Maneesh Sharma,Ladies vs Ricky Bahl,No
Sanjay Leela Bhansali,Goliyon Ki Raasleela Ram - Leela,No
Sanjay Leela Bhansali,Bajirao Mastani,No
Shaad Ali,Kill Dil,No
Vikramaditya Motwane,Lootera,No
Zoya Akhtar,Dil Dhadakne Do,No
Rajat Kapoor,Mixed Doubles,No
Rajat Kapoor,Mithya,No
Rajat Kapoor,Fatso,No
Surendra Singh Rathore,Kahani Ek Devi Ki...,Yes
Karan Gour,Kshay,Yes
Ashtar Sayed,Maatr,Yes
Sandeep Kumar,Parveen Bobby,No
Prasun Banerjee,Sweet Love,No
Ravi Kapoor,World Cupp 2011,Yes
Dinesh Avasthi,Raja Bhai Lagey Raho,No
Manish Vatsalya,Jeena Hai Toh Thok Daal,Yes
Suneet Arora,Chitkabrey,Yes
Fahim Khan,Ek Baar Aao Na,Yes
Aalima Ahmed,Khwaja Mere Khwaja,Yes
Shashi Shekhar,Ek Baar Maza Lijiye,Yes
Md. Mehatabul Haque,18.11 A Code Of Secrecy...!,Yes
Farhan Mirza,Jaana... Lets Fall In Love,Yes
Indra Kumar,Super Nani,No
Romilla Mukherjee,Detective Naani,Yes
Subodh Govil,Swarg Aashram,Yes
Kumar Raj,Tara - The Journey Of Love & Passion,No
Sandeep Solanki,Teesra Shabd,Yes
Suryaveer Singh Bhullar,Tamanchey,Yes
Manoj Sharma,Swaha,No
Milind Swamy,Jeena To Hai,No
Rakesh Chaturvedi,Bolo Raam,Yes
B.H. Tharun Kumar,Love Ke Chakkar Mein...,No
Habib Faisal,Do Dooni Chaar,Yes
Hriday Shetty,Pyaar Mein Twist,No
Ranjit Kapoor,Chintuji,Yes
Sanjay Chhel,Patel Ki Punjabi Shaadi,No
Rajesh Ram Singh,Khushboo,Yes
Shakir Khan,Ishq Ke Parindey,Yes
Rita S. Roy,Naari Teri Shakti Anokhi,Yes
E. Niwas,De Taali,No
Indra Kumar,Dhamaal,No
Indra Kumar,Grand Masti,No
Indra Kumar,Great Grand Masti,No
Karan Anshuman,Bangistan,Yes
Mandeep Kumar,Tere Naal Love Ho Gaya,Yes
Milap Zaveri,Jaane Kahan Se Aayi Hai,Yes
Priyadarshan,Malamaal Weekly,No
Sangeeth Sivan,Apna Sapna Money Money,No
Sujoy Ghosh,Aladin,No
Vivek Sharma,Kal Kissne Dekha,No
Sanoj Mishra,Mahidpur 0 K.M.,Yes
Anup Das,Life Express,Yes
Dinesh P. Bhonsle,Calapor,Yes
Tarique Khan,A Strange Love Story,No
Sonam Nair,Gippi,Yes
Apurv Bajpai,Amdavad Junction,Yes
Karan Razdan,Mittal Vs Mittal,No
Kushan Nandy,Hum Dum,No
Ravi Bhatia,2 Little Indians,Yes
Anurag Kashyap,Ugly,No
Vikramaditya Motwane,Udaan,Yes
Anjan Dutt,Chowrasta - Crossroads Of Love,No
Amit Kasaria,I Don't Luv U,Yes
Robby Grewal,MP3 - Mera Pehla Pehla Pyaar,No
Satish Kaushik,Teree Sang,No
Sudha Kongara,Saala Khadoos,Yes
Mustafa Engineer,Chand Ke Paar Chalo,No
Ankush Bhatt,Mumbai Mirror,No
Kaizad Gustad,Jackpot,No
Prashant Chadha,Aazaan,Yes
Sachin,Jaana Pehchana,No
Pramod Joshi,Chhodo Kal Ki Baatein,Yes
Shyam Benegal,Bose - The Forgotten Hero,No
Sikander Bhatia,Mobile Phone,No
Abhik Bhanu,Sab Kuch Nahin Kuch Bhi Nahin,Yes
K. Ashfaq,Siyasat - The Politics,Yes
Santosh Mishra,The Hero - Abhimanyu,Yes
Nila Madhab Panda,Babloo Happy Hai,No
Hadi Abrar,Ramaa - The Saviour,Yes
Sabir Shaikh,Double Cross - Ek Dhoka,No
Sunny Bhambhani,Love Express,Yes
Dinesh Parihar,Anna Ka Andolan,Yes
Sahil Prem,M.A.D - Mad About Dance,Yes
Abbas - Mustan,Race,No
Abbas - Mustan,Race 2,No
Homi Adajania,Being Cyrus,Yes
Homi Adajania,Cocktail,No
Imtiaz Ali,Love Aaj Kal,No
Kabir Khan,Phantom,No
Kunal Kohli,Thoda Pyaar Thoda Magic,No
Lawrence D'Souza,Sanam Teri Kasam,No
Pradeep Sarkar,Parineeta,Yes
Prakash Jha,Aarakshan,No
Raj Nidimoru,Go Goa Gone,Yes
Raj Nidimoru,Happy Ending,No
Raja Krishna Menon,Chef,No
Renzil D'Silva,Kurbaan,Yes
Sajid Khan,Humshakals,No
Siddharth Anand,Salaam Namaste,Yes
Siddharth Anand,Ta Ra Rum Pum,No
Sriram Raghavan,Agent Vinod,No
Tigmanshu Dhulia,Bullet Raja,No
Syed Rushdi Hasan,Yeh Ishq.....Nahin,Yes
Sunil Advani,Life Mein Hungama Hai,Yes
Rabi Kisku,Software Hardware Kya Yaaron,Yes
Rupender Verma,Laal Kranti,Yes
Pradeep Maru,Petrol,Yes
Abhinav Kashyap,Dabangg,Yes
Ali Abbas Zafar,Sultan,No
Ali Abbas Zafar,Tiger Zinda Hai,No
Anees Bazmee,Ready,No
Anil Sharma,Veer,No
Arbaaz Khan,Dabangg 2,Yes
David Dhawan,Maine Pyaar Kyun Kiya?,No
David Dhawan,Partner,No
K.S. Adhiyaman,Shaadi Karke Phas Gaya Yaar,No
Kabir Khan,Ek Tha Tiger,No
Kabir Khan,Bajrangi Bhaijaan,No
Kabir Khan,Tubelight,No
Nikhil Advani,Salaam-E-Ishq,No
Prabhu Deva,Wanted,Yes
Prem Soni,Main Aurr Mrs. Khanna,Yes
Priyadarshan,Kyon Ki,No
Ravi Chopra,Baabul,No
Rumi Jaffery,God Tussi Great Ho,Yes
Saawan Kumar Tak,Saawan... The Love Season,No
Sajid Nadiadwala,Kick,Yes
Siddique,Bodyguard,Yes
Sohail Khan,Jai Ho,No
Sooraj Barjatya,Prem Ratan Dhan Payo,No
Subhash Ghai,Yuvvraaj,No
Vinay Sapru,Lucky - No Time for Love,Yes
Vipul Amrutlal Shah,London Dreams,No
Willard Carroll,Marigold,Yes
Vijay Patkar,Riwayat,Yes
Rahul Kapoor,Bas Ek Tamanna,Yes
Mani Shankar,Mukhbiir,No
Rajan Waghdhare,Love Kaa Tadka,Yes
Abhinay Deo,Game,Yes
Dilip Shankar,Nigehbaan - The Third Eye,No
Raj Sharma,Rafta Rafta - The Speed,Yes
Shivram Yadav,Madhubaala,No
Shakeel S. Saifee,Main Hoon Kharidaar,Yes
Mehul Kumar,Krantiveer - The Revolution,No
Shahab Shamsi,Chand Sa Roshan Chehra,Yes
K.C. Bokadia,Bold,No
T.L.V. Prasad,Ek Se Mera Kya Hoga,No
Sunil Sharma,31st Night,No
Ram Gopal Verma,Veerappan,No
Kkailash Mali,Bandaa,Yes
Sarthak Dasgupta,The Great Indian Butterfly,Yes
Kumar Baadal,Valentines's Night,Yes
Afzal Khan,Mehbooba,No
Ajay Chandhok,Nehlle Pe Dehlla,Yes
Ajay Chandhok,Chatur Singh Two Star,No
Anand Kumar,Zilla Ghaziabad,No
Anubhav Sinha,Dus,No
Anubhav Sinha,Tathastu,No
Indra Kumar,Double Dhamaal,No
K.S. Ravikumar,Policegiri,Yes
Leena Yadav,Shabd,Yes
Mani Shankar,Knock Out,No
Omung Kumar,Bhoomi,No
Rahul Dholakia,Lamhaa,No
Rajkumar Hirani,Lage Raho Munnabhai,No
Ram Gopal Verma,Department,No
Raman Kumar,Sarhad Paar,No
Sanjay Gupta,Zinda,No
Saurabh Kadra,EMI,Yes
Soham Shah,Luck,No
Bhupendra Gupta,Unns,Yes
Jay Prakash,Sauda - The Deal,No
Bali Grover,Kiska Hai Intezaar,Yes
Kumar Raj,Manthan Ek Kashmakash,Yes
Anshul Sharma,Saare Jahaan Se Mehnga,Yes
Rajat Kapoor,Ankhon Dekhi,No
Shailendra Singh Rajput,Pyaar Ka Live Show,No
Rajiv Nath,Anubhav,Yes
Sankalp Shrivastava,Jai Singh Are Baap Re,Yes
Salim Raza,The Adventure Of Haunted House,No
Gurmmeet Singh,Warning,Yes
Chandini Gupta,Premsutra,No
Kanti Shah,Khooni,No
Kanti Shah,Angoor,No
Kanti Shah,Kachchi Kali,No
Kanti Shah,Darinda,No
Kanti Shah,Free Entry,No
Kanti Shah,No Parking,No
Kanti Shah,Gabbar Singh,No
Kishan Shah,Munnibai B.A. B. Com,No
Amol Gupte,Hawaa Hawaai,No
Ashima Chibber,Mere Dad Ki Maruti,Yes
Nupur Asthana,Mujhse Fraaandship Karoge,Yes
Pan Nalin,Angry Indian Goddesses,Yes
Sabyasachi Mohapatra,Jai Jagannath,Yes
Abhigyan Jha,Sacred Evil - A True Story,Yes
Rajesh Bajaj,Hari Puttar - A Comedy Of  Terrors,Yes
Priya Krishnaswamy,Gangoobai,Yes
Sartaj Singh Pannu,Soch Lo,Yes
Mannish Goel,Hum Phirr Milein Na Milein,Yes
Prakash Saini,Meri Padosan,Yes
Sandeep A. Varma,Manjunath,Yes
Kishan Shah,2 Piece,No
Deepak Tanwar,Ab Hoga Dharna Unlimited,Yes
Krishna Mishra,Wounded,Yes
Harish Bhonsle,Ankush - The Command,Yes
Shashi Ranjan,Dhoom Dadakka,No
Alok Shrivastava,The Unsound,Yes
Nitin Kakkar,Filmistaan,Yes
Ajit Varma,Operation Mumbai,Yes
Aparna Sen,15 Park Avenue,Yes
Jayant Gilatar,Chalk N Duster,No
Manish Acharya,Loins Of Punjab Presents,Yes
Sarovar Banka,A Decent Arrangement,Yes
Shomshuklla Das,Sandcastle,Yes
Anurag Singh,Dil Bole Hadippa,No
Aziz Mirza,Kismat Konnection,No
Imtiaz Ali,Jab We Met,No
Ken Ghosh,Chance Pe Dance,No
Kunal Kohli,Teri Meri Kahaani,No
Mahesh Manjrekar,Vaah! Life Ho Toh Aisi!,No
Milind Ukey,Paathshaala,No
Pankaj Kapoor,Mausam,Yes
Parmeet Sethi,Badmaash Company,Yes
Prabhu Deva,R... Rajkumar,No
Priyadarshan,Chup Chup Ke,No
Rajkumar Santoshi,Phata Poster Nikhla Hero,No
Satish Kaushik,Milenge Milenge,No
Sooraj Barjatya,Vivah,No
Vikas Bahl,Shaandaar,No
Vishal Bhardwaj,Kaminey,No
Vishal Bhardwaj,Haider,No
Vishal Bhardwaj,Rangoon,No
Laljibhai Patel,Tu Bewafa Hai,Yes
Mohd. Shamim Khan,Dekha Jo Pehli Baar,Yes
Aditya Chopra,Rab Ne Bana Di Jodi,No
Amol Palekar,Paheli,No
Anubhav Sinha,Ra.One,No
Farah Khan,Om Shanti Om,No
Farah Khan,Happy New Year,No
Farhan Akhtar,Don - The Chase Begins Again,No
Farhan Akhtar,Don 2,No
Imtiaz Ali,Jab Harry Met Sejal,No
Karan Johar,Kabhi Alvida Na Kehna,No
Karan Johar,My Name Is Khan,No
Maneesh Sharma,Fan,No
Rahul Dholakia,Raees,No
Rohit Shetty,Chennai Express,No
Rohit Shetty,Dilwale,No
Shimit Amin,Chak De India,No
Yash Chopra,Jab Tak Hai Jaan,No
Shahzad Pathan,Us Disha Mein,Yes
Kanti Shah,Garam Padosan,No
Prateek Chakravorty,From Sydney With Love,Yes
Sanjiv Kolte,Ek Pal Pyar Ka,Yes
Ajai Sinha,3 Bachelors,No
Faraz Haider,War... Chhod Na Yaar,Yes
Faruk Kabir,Allah Ke Banday,Yes
Kedar Shinde,Toh Baat Pakki,Yes
Onir,Sorry Bhai!,No
Rajesh Mapuskar,Ferrari Ki Sawaari,Yes
Satish Kaushik,Gang Of Ghosts,No
Tinu Suresh Desai,1920 London,Yes
Vishal Pandya,Wajah Tum Ho,No
Sangeeta Datta,Life Goes On,Yes
Ashok Gaikwad,2 Chehare,No
Karan,Love Aur Sex,Yes
Sanjay Bhatia,99.9 FM,Yes
Wilson Louis,Mallika,No
Deepak K. Bajaj,Chehra - The Unknown Mask,Yes
Vinod Pande,Red Swastik,No
Aman Soni,Sanak - The Deadly Passion,Yes
Deepak Tijori,Khamoshh... Khauff Ki Raat,No
Kunal Shivdasani,Hijack,Yes
Mohit Suri,Woh Lamhe,No
Puja Jatinder Bedi,Ghost,Yes
Ruchi Narain,Kal - Yesterday & Tomorrow,Yes
Sudhir Mishra,Hazaaron Khwaishein Aisi,No
Sudhir Mishra,Khoya Khoya Chand,No
Vinod Pande,Sins,Yes
Tarun Dhanrajgir,Kis Hudh Tak...,Yes
Rajesh Pandey,Karle Pyaar Karle,Yes
Suneel Darshan,Ek Haseena Thi Ek Deewana Tha,No
Apoorva Lakhia,Haseena Parkar,No
Bumpy,Luv Ka The End,Yes
Nimu Bhowmick,Pratyavartan - The Homecoming,Yes
Aaditya Datt,Will You Marry Me?,No
Indrajit Nattoji,Aagey Se Right,Yes
Mrighdeep Singh Lamba,Teen Thay Bhai,Yes
Nagesh Kukunoor,Iqbal,No
Nagesh Kukunoor,Bombay To Bangkok,No
Paritosh Painter,Paying Guests,Yes
Priyadarshan,Kamaal Dhamaal Malamaal,No
Sangeeth Sivan,Click,No
Shyam Benegal,Welcome to Sajjanpur,No
Rohit Nayyar,Aasma - The Sky Is the Limit,No
Shubh,Shakal Pe Mat Ja,Yes
Mohan Savalkar,Nakshatra,Yes
Adi Irani,Raqt,Yes
Siddhant Kumar,Raat Abhi Baaki Hai,Yes
Chandan Arora,Striker,No
Sanjay Surker,Stand By,Yes
Aman Sachdeva,Kuku Mathur Ki Jhand Ho Gayi,Yes
Manish Jha,Anwar,No
Amit Khanna,Tutiya Dil,Yes
Krishna D.K,A Gentleman - Sundar Susheel Risky,No
Mohit Suri,Ek Villain,No
Nitya Mehra,Baar Baar Dekho,Yes
Shakun Batra,Kapoor & Sons,No
Vinil Mathew,Hasee Toh Phasee,Yes
Hansal Mehta,Woodstock Villa,No
Suhail Tatari,Summer 2007,Yes
Ashok Vishwanath,Gumshuda,Yes
Bisham Kohli,Aaj Ka Neta,No
Tarun Wadhwa,Beda Paar Karte Bhagwan Amarnath,No
Kumar Bablu,Malika - The Fire,Yes
Rajshree Ojha,Chaurahen,No
Abhishek Kapoor,Aryan,Yes
Ajay Chandhok,Team - The Force,No
Atul Agnihotri,Hello,No
Samir Karnik,Heroes,No
Sooni Taraporevala,Little Zizou,Yes
A.R. Murugadoss,Akira,No
Sunhil Sippy,Noor,No
Arindam Nandy,Via Darjeeling,Yes
Hamid Ali,Shraddha - In  The Name Of God,No
Nitin Mahadar,The Camp,Yes
Abhishek Dogra,Dolly Ki Doli,Yes
Rajshree Ojha,Aisha,Yes
Ram Madhvani,Neerja,Yes
Purrshottam,Item Girl,Yes
Kaushik Ghatak,Ek Vivaah... Aisa Bhi,Yes
Nikhil Advani,Hero,No
Gauri Shinde,English Vinglish,Yes
Ravi Udyawar,Mom,Yes
Jai Tank,Madholal Keep Walking,Yes
Hayat Asif,Mission - The Last War,Yes
S.K. Prasad,Garma Garam,Yes
Milind Gadagkar,Phoonk 2,Yes
Ram Gopal Verma,Phoonk,No
Sanjay Khandelwal,Unlimited Nasha,No
Kaaran Choudhary,Manoranjan - The Entertainment,Yes
Masud Mirza,Dhara,Yes
Amol Shetge,Love Recipe,No
Jagbir Dahiya,Kuch Kariye,Yes
Jagbir Dahiya,Khudi Ko Kar Buland Itna,No
Bappaditya Bandopadhyay,Devaki,Yes
Jaideep Chopra,Maazii,Yes
Anand Kumar,Desi Kattey,No
Anant Mahadevan,Red Alert - The War Within,No
Ashwini Dhir,One Two Three,Yes
Deepak Shivdasani,Mr. White Mr. Black,No
Jagdish C. Pandey,Barood - The Fire A Love Story,Yes
K. Murali Mohana Rao,Daddy Cool - Join The Fun,No
Mahesh Manjrekar,Padmashree Laloo Prasad Yadav,No
Rajnish Thakur,Mere Dost Picture Abhi Baaki Hai,No
Vishal Mishra,Coffee With D,Yes
Sunil Pal,Money Back Guarantee,No
Ahmed Khan,Fool N Final,No
Ammtoje Mann,Kaafila,No
Anil Sharma,Apne,No
Anil Sharma,Singh Saab The Great,No
Deepak Tijori,Fox,No
Guddu Dhanoa,Big Brother,No
Harry Baweja,Teesri Aankh - The Hidden Camera,No
K.C. Bokadia,Khuda Kasam,No
Neeraj Pathak,Right Yaa Wrong,No
Radhika Rao,I Love NY,Yes
Rahul Rawail,Jo Bole So Nihaal,No
Samir Karnik,Yamla Pagla Deewana,No
Sangeeth Sivan,Yamla Pagla Deewana 2,No
Shreyas Talpade,Poster Boys,Yes
Sunny Deol,Ghayal Once Again,No
Pawan Gill,Jo Hum Chahein,Yes
Bhushan Patel,Ragini MMS 2,No
Bobby Khan,Ek Paheli Leela,Yes
Devang Dholakia,Kuch Kuch Locha Hai,No
Jasmine Moses,One Night Stand,Yes
Pooja Bhatt,Jism 2,No
Shyam Ramsay,Neighbours,No
Aatish Kapadia,Khichdi The Movie,Yes
Suraj Dev Sahu,Yahi To Pyar Hai,Yes
Ram Gopal Verma,Rakht Charitra 2,No
Vishal Pandya,Hate Story 2,No
Piyush Chakravarty,Lady Dabangg Aaj Bbhi,Yes
Jaideep Varma,Hulla,Yes
Sunanda Mitra,Idiot Box,Yes
Abhishek Kapoor,Kai Po Che,No
Dibakar Banerjee,Detective Byomkesh Bakshy,No
Dinesh Vijan,Raabta,Yes
Maneesh Sharma,Shuddh Desi Romance,No
Neeraj Pandey,M.S. Dhoni - The Untold Story,No
Suresh Jain,Munni Metric Pass,No
Kalpana Lajmi,Chingaari,No
Tanuja Chandra,Zindaggi Rocks,No
Ritesh Menon,Crazy Cukkad Family,Yes
Ashwiny Iyer Tiwari,Nil Battey Sannatta,Yes
Avinash Das,Anaarkali Of Aaraah,Yes
Avinash Kumar Singh,Listen... Amaya,Yes
Debaloy Dey,Machhali Jal Ki Rani Hai,Yes
Ambrish Sangal,Tension Doooor,No
Swaroop Kanchi,Yeh Dil Ramta Jogi,No
Ajay Yadav,Overtime,Yes
K. Ravi Raj,Mastaani... Lost In A Crowd Of Two,Yes
Dweep Raj Kochhar,Akkad Bakkad Bambey Bo,Yes
Wilson Louis,Kaalo,No
Shivam Nair,Naam Shabana,No
Ashok Kaul,Bhaggmati - The Queen Of Fortunes,No
Joe Rajan,Luv U Soniyo,Yes
Tanushri Chattrji Bassu,Purani Jeans,Yes
Dadu,Aadi Shakti,Yes
Jag Mundhra,Apartment,No
Raj Ahmed Khan,Ek Aur Sahaadat,Yes
Aqil A. R. Hashmi,Key Club,Yes
Suresh Jain,Best Partner,No
Suresh Jain,Bhiga Badan,No
Suresh Jain,Night Lover,No
Suresh Jain,Kaamwali,No
Suresh Jain,Ricksha Waali,No
Suresh Jain,Doodhwali,No
Suresh Jain,Machhiwali,No
Suresh Jain,Barwali,No
Suresh Jain,College Girl,No
Dilip Gulati,Gumnaam,No
Amy Thanawala,Suno Na... Ek Nanhi Aawaz,Yes
Rakesh Sawant,Hot Money,No
D'Silva,Shrrameya - The Laborious,Yes
Sanjay Niranjan,Kaho Na Kaho,Yes
Vinod R. Thakur,Mission 11 July,Yes
Deep Saraswat,Murder In Mumbai,Yes
Milind Swamy,De De Ek Chumma De,Yes
Yogesh Mittal,Yeh Faasley,Yes
Rahat Kazmi,Identity Card,No
Remo D'Souza,A Flying Jatt,No
Sabbir Khan,Heropanti,No
Sabbir Khan,Baaghi,No
Sabbir Khan,Munna Micheal,No
J.J. Reddy,Karoongi Tujhe Khallaas,Yes
Mohan Bhakri,Ab Tumhari Bari,No
Rajesh Shera,Ocean Of An Old Man,Yes
Manav Kaul,Hansa,Yes
Manish Jha,Matrubhoomi,Yes
Raju Khan,Showbiz,Yes
Anant Mahadevan,Aggar,No
Krishna D.K,Shor In The City,No
Lovely Singh,Kya Love Story Hai,Yes
Milap Zaveri,Mastizaade,No
Priyadarshan,Dhol,No
S. Manasvi,Love U...Mr. Kalakaar!,Yes
Sachin Yardi,C Kkompany,Yes
Sachin Yardi,Kyaa Super Kool Hain Hum,No
Sagar Ballary,Hum Tum Shabana,No
Samir Karnik,Chaar Din Ki Chandni,No
Sangeeth Sivan,Kyaa Kool Hai Hum,No
Shashant Shah,Bajatey Raho,No
Umesh Ghadge,Kyaa Kool Hain Hum 3,Yes
Arjun Sablok,Neal N Nikki,No
Vinod Mukhi,Diary Of A Butterfly,No
Deepesh Shah,Ek Cheez Milegi Wonderful,Yes
Jyotiish,Baap Jaroor Banunga,Yes
Shams Durrani,Naari Ek Khilona,No
Babu,Lollypop,No
Pankaj Parashar,Banaras - A Mystic Love Story,No
Shripal Morakhia,Naina,Yes
Dinesh Chaudhary,Katto,Yes
Sanjeev Vedwan,Dear Vs Bear,Yes
Uunnat Duutt,Tere Pyaarr Mein Paapad,Yes
Sachin Yadav,Guardians Who Loved Us,Yes
Sanjeev Lakhan Patel,Jai Narmada Maiya,Yes
David Dhawan,Main Tera Hero,No
David Dhawan,Judwaa 2,No
Karan Johar,Student Of The Year,No
Remo D'Souza,ABCD 2,No
Shashank Khaitan,Humpty Sharma Ki Dulhania,Yes
Shashank Khaitan,Badrinath Ki Dulhania,No
Sriram Raghavan,Badlapur,No
Shekhar S. Jha,Eik Dasttak,Yes
Manish Gupta,Hostel,No
Hemant Madhukar,Mumbai 125 KM,No
Navin Batra,Real Life Of Supermodel,Yes
Rajiv S. Ruia,Zindagi 50-50,No
Hamid Ali,Yaaraa,No
Rupali Guha,Aamras,Yes
Mozez Singh,Zubaan,Yes
Anjan Dutt,Bow Barracks Forever,No
Wilson Louis,Ho Sakta Hai!,Yes
Milan Luthria,The Dirty Picture,No
Raj Kumar Gupta,No One Killed Jessica,No
Samar Shaikh,Bobby Jasoos,Yes
Srijit Mukherji,Begum Jaan,Yes
Sujoy Ghosh,Kahaani,No
Sujoy Ghosh,Kahaani 2,No
Suresh Triveni,Tumhari Sulu,Yes
Deven Bhojani,Commando 2,Yes
Dilip Ghosh,Commando,Yes
M. Irfan,Pyar Hawas Aur Dhokha,No
Dipu Karunakaran,Mission Tigers,Yes
Raj Pendurkar,Journey Bombay To Goa,Yes
Vijay Raaz,Kya Dilli Kya Lahore,Yes
Vijay Saxena,Don Ke Baad Kaun?,Yes
Bejoy Nambiar,David,No
Akash Dixit,Model - The Beauty,Yes
Rajkumar R. Pandey,Mahiya - Call Of Love...,Yes
Tanuja Chandra,Hope & A Little Sugar,No
Neeraj Sahai,Old Iss Gold,Yes
Arshad Khan,Trump Card,No
Deepak Balraj Vij,Mumbai Godfather,No
Ravi K. Patwa,Royal Utsav,No
Vikrant Mahajan,Challo Driver,Yes
M. Irfan,Kool Nahi Hot Hain Hum,Yes
Vinay Arora,Pehla Aashiq Pehla Qatil,Yes
Anil Chaudhary,Kaagaz Ke Fools,Yes
Deepa Sahi,Tere Mere Phere,Yes
Parvati Balagopalan,Straight,No
Sagar Ballary,Bheja Fry,Yes
Sagar Ballary,Bheja Fry 2,No
Saurabh Shukla,Pappu Can't Dance Saala,No
Shashant Shah,Dasvidaniya,Yes
Shashant Shah,Chalo Dilli,No
Sourabh Shrivastava,Oh. My God!!,Yes
Srikanth Velagaleti,Utt Pataang,Yes
Robert Lieberman,Speedy Singhs,Yes
Vidhu Vinod Chopra,Broken Horses,No
David Atkins,Queens! Destiny Of Dance,Yes
Narendra Kumar Sharma,Filmi Duniya,Yes
Ashu Trikha,Koyelaanchal,No
Zaigham Ali Sayed,Fast Forward,Yes
Vinod Painter,Gopa - The Freedom Fighter,Yes
Sameer Hanchate,Gafla,Yes
Sanjay Goel,Tum Hi To Ho,Yes
Ajay Bhuyan,Amit Sahni Ki List,Yes
Kabir Sadanand,Gollu Aur Pappu,No
Manoj Tyagi,Mumbai Salsa,Yes
Shekhar Ghosh,Sooper Se Ooper,Yes
Jayesh Gupta,Bacche Mann Ke Sacche,Yes
Apoorva Lakhia,Shootout At Lokhandwala,No
Apoorva Lakhia,Mission Istaanbul,No
Indra Kumar,Pyare Mohan,No
Kookie V. Gulati,Prince,Yes
Ram Gopal Verma,Rakht Charitra,No
Sachin Bajaj,Naksha,Yes
Sanjay Khanduri,Kismet Love Paisa Dilli,No
Subhash Ghai,Kisna,No
Sujoy Ghosh,Home Delivery,No
Vinnil Markan,Jayantabhai Ki Love Story,Yes
Rahat Kazmi,Impatient Vivek,No
Maninder Bhandari,Cocktail - The Deadly Combination,Yes
Naeem Khan,Ishq Na Karna,Yes
Amit Ojha,Ussey Kya Ho Jayega?,Yes
Mahesh Kenge,Lagan - The Dedication,Yes
Ravi Ved Chouhan,Jugatiya,Yes
Monazir Hasain,Pyaar Kaa Funda,Yes
Sanjeev Nanda,Ab To Sambhal,Yes
Arshad Siddiqui,Memsahab,Yes
Advait Chandan,Secret Superstar,Yes
Vineet Khetrapal,Satrangee Parachute,Yes
Anant Mahadevan,Aksar 2,No
Vishal Pandya,Hate Story 3,No
Gurmmeet Singh,Sharafat Gayi Tel Lene,No
Sahil Sangha,Love Breakups Zindagi,Yes
Suresh Krishna,Rocky,No
Vikram Bhatt,Speed,No
Vikram Chopra,Fight Club,Yes
Sanghamitra Chaudhuri,Strings Of Paasion,Yes
Sanjay Sharma,Dunno Y Na Jaane Kyun,No
Akbar Khan,Taj Mahal - An Eternal Love Story,Yes
Partho Ghosh,Mr. Hot Mr. Kool,No
